"Marca temporal","Cual es su sexo?","Cual es su rango de edad?","A que facultad pertenece?","Que redes sociales suele usar?","Alguna vez fue victima de Grooming? (Cuando un adulto se hace pasar por un menor y solicita desnudos).","Ha tenido usted relaciones sexuales? (Todo tipo de práctica sexual cuenta)","Alguna vez ha enviado fotos o videos en donde exponga su desnudez?","Alguna vez ha enviado desnudos sin ser solicitados? (A desconocidos)","Alguna vez ha enviado desnudos sin ser solicitados? (Durante el Sexting, conversaciones calientes o subidas de tono)","Usualmente es usted quien inicia el envío de desnudos?","Cuando envía desnudos, usa la opción de ""ver una sola vez""?","Cuando está teniendo relaciones sexuales, permite la grabación del acto?","Al momento de enviar desnudos, usted muestra su rostro?","Al momento de enviar desnudos, usted procura que no se le pueda identificar por medio de facciones? (Lunares, manchas o características propias de la persona)","Que formato suene utilizar para enviar desnudos?","Alguna vez le han compartido desnudos sus amigos?","Alguna vez ha solicitado a sus amigos que compartan los desnudos que recibe? (Aun si es por una pequeña curiosidad)","Alguna vez ha compartido desnudos? (Sin importar el motivo)","Usualmente comparte los desnudos que recibe?","Alguna vez a compartido sus desnudos en grupos o canales en redes sociales?","Alguna vez ha vendido los desnudos que recibe?","Alguna vez a subido los desnudos que recibe a paginas pornográficas?","Alguna vez ha comprado desnudos de otras personas a particulares? (Aquellos que hacen parte de la industria del entretenimiento para adultos con negocios en paginas como Patreon u OnlyFans no cuentan)"
"2024/06/17 3:02:49 p. m. GMT-5","Mujer","19 a 23 años.","Ciencias Humanas ","Instagram;Discord;WhatsApp","No","Si","Si","No","No","No","Si","Si","No","Si","Fotos","Sí","No","No","","","","",""
"2024/06/17 3:30:21 p. m. GMT-5","Hombre","19 a 23 años.","Ingenieria ","Facebook;Instagram;Discord;WhatsApp","No","Si","Si","No","Sí","Si","No","Si","No","No","Fotos;Videos;Gifs (Imágenes en movimiento);Shorts (Videos cortos)","Sí","No","No","","","","",""
"2024/06/17 3:51:11 p. m. GMT-5","Hombre","24 a 27 años.","Fisicomecanicas","Facebook;Instagram;WhatsApp","No","Si","Si","No","No","No","Si","No","No","Si","Fotos","No","No","No","","","","",""
"2024/06/17 4:30:24 p. m. GMT-5","Hombre","15 a 18 años.","Fisicoquímicas ","Instagram;WhatsApp","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:30:27 p. m. GMT-5","Hombre","19 a 23 años.","Humanas ","Facebook;Instagram;X (Twitter);WhatsApp","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:30:53 p. m. GMT-5","Hombre","19 a 23 años.","Físicomecánicas","Facebook;Discord;WhatsApp","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:31:00 p. m. GMT-5","Hombre","19 a 23 años.","Fisicomecanicas","Facebook;Instagram;WhatsApp","No","Si","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:31:36 p. m. GMT-5","Hombre","15 a 18 años.","Ing fisicoquímica ","Facebook;Instagram;X (Twitter);Discord;WhatsApp","No","Si","Si","No","Sí","No","Si","No","No","Si","Fotos;Videos;Shorts (Videos cortos)","Sí","Sí","Si","No","No","No","No","No"
"2024/06/17 4:31:43 p. m. GMT-5","Hombre","19 a 23 años.","Fisicomecánica","Facebook;Instagram;X (Twitter);Telegram;WhatsApp","No","Si","Si","No","Sí","No","Si","No","No","Si","Fotos","No","No","No","","","","",""
"2024/06/17 4:32:15 p. m. GMT-5","Mujer","19 a 23 años.","Salud ","Facebook;Instagram;WhatsApp","Si","Si","Si","No","No","No","Si","Si","No","No","Videos","Sí","No","Si","No","No","No","No","No"
"2024/06/17 4:33:59 p. m. GMT-5","Hombre","19 a 23 años.","Ingeniería Físico mecánicas","WhatsApp","No","Si","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:34:07 p. m. GMT-5","Hombre","24 a 27 años.","Físico mecánica ","Facebook;Instagram;X (Twitter);WhatsApp","No","Si","Si","No","No","No","Si","Si","No","Si","Fotos;Videos;Shorts (Videos cortos)","No","No","No","","","","",""
"2024/06/17 4:34:55 p. m. GMT-5","Mujer","24 a 27 años.","Ciencias humanas ","Instagram;X (Twitter);WhatsApp","No","Si","Si","No","No","No","No","No","No","Si","Fotos;Gifs (Imágenes en movimiento)","No","No","No","","","","",""
"2024/06/17 4:38:53 p. m. GMT-5","Mujer","15 a 18 años.","Ciencias Humanas","Facebook;Instagram;WhatsApp;Tik tok ","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:40:15 p. m. GMT-5","Mujer","15 a 18 años.","Ciencias humanas.","Facebook;Telegram;WhatsApp","Si","Si","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:43:49 p. m. GMT-5","Hombre","15 a 18 años.","Fisicomecanicas","Facebook;Instagram;X (Twitter);Discord;WhatsApp","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:44:50 p. m. GMT-5","Hombre","24 a 27 años.","Físico mecánica ","X (Twitter);WhatsApp","No","Si","Si","No","No","Si","Si","No","No","No","Fotos;Gifs (Imágenes en movimiento)","No","No","No","","","","",""
"2024/06/17 4:49:16 p. m. GMT-5","Hombre","24 a 27 años.","Humanidades","X (Twitter);Telegram;Discord;WhatsApp","No","Si","No","","","","","","","","","","","","","","","",""
"2024/06/17 4:51:32 p. m. GMT-5","Hombre","19 a 23 años.","Fisicomecanicas","Instagram;X (Twitter);Telegram;Discord;WhatsApp","No","Si","Si","No","No","No","Si","No","No","No","Fotos;Videos","No","No","No","","","","",""
"2024/06/17 4:56:58 p. m. GMT-5","Hombre","19 a 23 años.","Físicomecánicas","Facebook;Instagram;Discord;WhatsApp","No","No","Si","No","No","No","No","No","No","No","Fotos","Sí","No","Si","No","No","No","No","No"
"2024/06/17 5:06:54 p. m. GMT-5","Mujer","19 a 23 años.","Ciencias Humanas ","WhatsApp;Tik Tok","No","Si","Si","No","No","Si","Si","No","No","Si","Fotos","No","No","No","","","","",""
"2024/06/17 5:07:07 p. m. GMT-5","Hombre","24 a 27 años.","Ingeniería fisicomecanicas ","Facebook;Instagram;Telegram;WhatsApp","No","Si","Si","No","No","No","Si","No","No","Si","Fotos;Gifs (Imágenes en movimiento)","No","No","Si","No","Sí","No","No","No"
"2024/06/17 5:25:06 p. m. GMT-5","Hombre","15 a 18 años.","Físico mecánicas","Facebook;Instagram;X (Twitter);Telegram;WhatsApp","Si","No","No","","","","","","","","","","","","","","","",""
"2024/06/17 8:52:36 p. m. GMT-5","Mujer","19 a 23 años.","Salud","Facebook;Instagram;X (Twitter);Telegram;Discord;WhatsApp","No","Si","Si","Sí","Sí","No","Si","No","Si","No","Fotos","No","No","No","","","","",""
"2024/06/17 10:53:48 p. m. GMT-5","Hombre","24 a 27 años.","Ciencias Humanas","Facebook;Instagram;WhatsApp","No","No","No","","","","","","","","","","","","","","","",""
"2024/06/18 12:58:55 a. m. GMT-5","Hombre","15 a 18 años.","fisicomecanicas","Instagram;X (Twitter);WhatsApp","No","Si","Si","No","Sí","No","Si","No","Si","No","Shorts (Videos cortos)","Sí","No","No","","","","",""
"2024/06/18 5:02:00 a. m. GMT-5","Hombre","19 a 23 años.","Físicomecánicas","Facebook;Instagram;X (Twitter);WhatsApp","No","Si","Si","No","No","No","Si","No","No","Si","Fotos;Videos","No","No","No","","","","",""
"2024/06/18 9:33:31 a. m. GMT-5","Hombre","19 a 23 años.","fisicomecanica","Facebook;Instagram;X (Twitter);Discord;WhatsApp","No","Si","Si","No","No","No","Si","No","No","Si","Fotos","No","No","No","","","","",""
"2024/06/18 11:43:56 p. m. GMT-5","Hombre","19 a 23 años.","Ingeniería ","Facebook;Instagram;X (Twitter);WhatsApp","No","Si","Si","No","No","No","Si","No","No","Si","Fotos;Videos","Sí","No","No","","","","",""
"2024/06/19 9:27:15 a. m. GMT-5","Hombre","15 a 18 años.","Fisicomecanicas ","Instagram;Discord;WhatsApp","No","No","Si","No","No","No","Si","No","No","No","Fotos","No","No","No","","","","",""
"2024/06/19 11:14:21 p. m. GMT-5","Hombre","19 a 23 años.","Ingenierías Fisicomecánicas","Instagram;X (Twitter);Telegram;Discord;WhatsApp","No","Si","Si","No","Sí","No","Si","No","No","No","Fotos","No","No","No","","","","",""
"2024/06/19 11:18:58 p. m. GMT-5","Hombre","19 a 23 años.","Medicina ","Facebook;Instagram;X (Twitter);Telegram;WhatsApp","No","Si","Si","No","No","Si","Si","No","No","No","Fotos","No","No","No","","","","",""
"2024/06/19 11:21:54 p. m. GMT-5","Hombre","19 a 23 años.","Salud","Facebook;Instagram;WhatsApp;Tiktok","No","Si","No","","","","","","","","","","","","","","","",""
"2024/06/19 11:57:47 p. m. GMT-5","Mujer","19 a 23 años.","Fisicomecánicas","Facebook;Instagram;Discord;WhatsApp","Si","Si","Si","No","Sí","No","Si","No","No","No","Fotos","No","No","Si","No","No","No","No","No"
"2024/06/20 2:39:05 a. m. GMT-5","Hombre","19 a 23 años.","Historia ","Instagram;Telegram;Discord;WhatsApp","No","Si","Si","No","Sí","No","No","Si","No","Si","Fotos;Videos","Sí","Sí","Si","No","No","No","No","No"
"2024/06/20 7:08:09 a. m. GMT-5","Hombre","19 a 23 años.","Ciencias ","Facebook;Instagram;Discord;WhatsApp","No","Si","Si","No","Sí","No","Si","Si","No","No","Fotos","No","No","No","","","","",""
"2024/06/20 8:11:25 a. m. GMT-5","Hombre","19 a 23 años.","Físicomecánicas ","Facebook;Instagram;X (Twitter);Telegram;Discord;WhatsApp","No","Si","No","","","","","","","","","","","","","","","",""
